8366889;160;771;
8366889;771;9;
8366893;101;1;
8366893;1;2;
8366896;1;575;
8366896;575;574;
8366896;574;5;
8366896;5;564;
8366896;564;116;
8366901;11;120;
8366901;120;830;
8366901;830;121;
8367055;122;688;
8367055;688;687;
8367055;687;686;
8367055;686;111;
8367055;111;689;
8367055;689;110;
8367055;110;690;
8367055;690;22;
8367055;22;685;
8367055;685;17;
8367055;17;748;
8367055;748;14;
8367055;14;15;
8367089;355;135;
8367089;135;648;
13801323;188;695;
13801323;695;187;
13801868;187;372;
13801868;372;702;
13802005;25;798;
13802005;798;706;
14326464;28;261;
14326464;261;327;
14326464;327;712;
14326464;712;764;
14326464;764;210;
14326464;210;211;
14326464;211;219;
14326464;219;872;
14326464;872;29;
14326464;29;258;
14326464;258;257;
14326464;257;161;
14326464;161;27;
14326487;331;713;
14326487;713;332;
14326487;332;765;
14326487;765;861;
14326493;26;367;
14326493;367;30;
14326493;30;365;
14326493;365;366;
14326493;366;198;
14326493;198;368;
14326493;368;199;
14326493;199;72;
14326493;72;238;
14326493;238;259;
14326558;27;777;
14326558;777;262;
14326558;262;231;
14326558;231;832;
14326558;832;12;
14326558;12;236;
14326558;236;772;
14326558;772;275;
14326558;275;838;
14326733;36;674;
14326733;674;662;
14326733;662;661;
14326733;661;35;
14326733;35;34;
14326733;34;678;
14326733;678;197;
14326733;197;193;
14326733;193;33;
14326733;33;196;
14326733;196;32;
14326733;32;684;
14326733;684;170;
14326733;170;122;
14333465;42;812;
14333465;812;306;
14333465;306;304;
14333465;304;303;
14333465;303;305;
14333465;305;301;
14333465;301;302;
14333465;302;307;
14333465;307;44;
14333474;43;813;
14333474;813;311;
14333474;311;310;
14333474;310;308;
14333474;308;309;
14333500;45;58;
14333500;58;46;
14333500;46;260;
14333500;260;711;
14333500;711;782;
14333500;782;27;
26119844;171;867;
26119844;867;169;
26119844;169;868;
26119844;868;168;
26119844;168;349;
26119844;349;165;
26119844;165;581;
26119844;581;164;
26119862;674;818;
26119862;818;155;
26119862;155;525;
26119862;525;51;
26119862;51;523;
26119862;523;526;
26119862;526;50;
26119862;50;23;
26119880;119;131;
26119900;7;538;
26119900;538;6;
26119900;6;119;
26207784;245;57;
26207784;57;99;
26207784;99;58;
26207794;237;71;
26207794;71;70;
26207794;70;69;
26207794;69;68;
26207794;68;67;
26207794;67;66;
26207794;66;65;
26207794;65;115;
26207794;115;64;
26207794;64;85;
26207794;85;63;
26207794;63;62;
26207794;62;61;
26207794;61;60;
26207794;60;89;
26207794;89;98;
26207794;98;59;
26207794;59;47;
28193881;158;74;
28193881;74;36;
28193886;122;23;
28193886;23;112;
28193886;112;18;
30912936;13;73;
31060211;2;75;
31060211;75;726;
31060211;726;727;
31060242;76;573;
31060242;573;719;
31060242;719;720;
31060242;720;570;
31060242;570;77;
31060242;77;571;
31060242;571;20;
34607518;4;3;
34607518;3;107;
34607518;107;740;
34607518;740;9;
34607518;9;296;
34607518;296;289;
34607518;289;6;
34607518;6;10;
34607518;10;792;
34607518;792;791;
34607518;791;12;
34683791;39;38;
35203817;21;173;
35203817;173;577;
35203817;577;580;
35203817;580;20;
35203817;20;579;
35203817;579;578;
35203817;578;576;
35203817;576;2;
39658629;179;80;
39668434;11;82;
39668434;82;162;
39668434;162;784;
39668434;784;783;
39668434;783;161;
39668885;859;860;
39668885;860;850;
39668885;850;793;
39668885;793;882;
39668885;882;537;
39668885;537;877;
39668885;877;876;
39669069;240;239;
39669069;239;242;
39669069;242;249;
39669069;249;84;
39669178;249;255;
39669178;255;254;
39669178;254;253;
39669178;253;256;
39669178;256;86;
39669178;86;90;
39669178;90;87;
39669178;87;88;
39669178;88;100;
39669178;100;47;
39670508;96;91;
39670508;91;163;
39670508;163;92;
39670508;92;93;
39670508;93;94;
39670508;94;378;
39670508;378;874;
39670508;874;377;
39671211;95;96;
51230332;158;759;
51230332;759;760;
51230332;760;26;
59525257;16;17;
59525257;17;681;
59525257;681;13;
60175223;735;739;
60175223;739;737;
60175223;737;738;
60175223;738;736;
60175223;736;102;
60175223;102;107;
60175223;107;561;
60175224;117;297;
60175224;297;866;
60175224;866;560;
60175224;560;559;
60175941;735;183;
60175941;183;768;
60175941;768;742;
60175941;742;106;
60175941;106;104;
60175941;104;767;
60175941;767;105;
60175941;105;545;
60175941;545;79;
60175941;79;380;
60175941;380;160;
60175941;160;56;
95841157;55;109;
95841157;109;200;
107430880;114;205;
107430880;205;113;
107430880;113;815;
107430880;815;342;
107430880;342;344;
107430880;344;345;
107430880;345;343;
112465240;56;549;
112465240;549;773;
112465240;773;770;
112465240;770;558;
112465240;558;24;
112635323;76;817;
112635323;817;816;
112635323;816;209;
112635323;209;653;
112635323;653;167;
124539825;53;129;
124539825;129;126;
124539828;121;865;
124539828;865;118;
124539828;118;565;
124539828;565;567;
124539828;567;563;
124539828;563;566;
124539828;566;562;
124539828;562;116;
125102902;138;716;
125102902;716;875;
125102902;875;717;
125102902;717;718;
125102902;718;137;
128825637;21;174;
128825637;174;638;
128825637;638;175;
128825637;175;139;
128825637;139;635;
128825637;635;639;
128825637;639;640;
128825637;640;630;
128825637;630;140;
128825637;140;636;
128825637;636;634;
128825637;634;631;
128825637;631;626;
128825637;626;627;
128825640;726;849;
128825640;849;19;
128825640;19;728;
133211822;95;150;
133211822;150;149;
133211822;149;148;
133211822;148;147;
133211822;147;146;
133211822;146;145;
133211822;145;144;
133211822;144;143;
133211822;143;142;
133211822;142;141;
133211822;141;108;
133211822;108;385;
133211822;385;381;
133211822;381;386;
133211822;386;387;
133211822;387;388;
133211822;388;184;
133211822;184;384;
133211822;384;383;
133211822;383;382;
133211822;382;97;
156208919;126;133;
156208919;133;125;
156208919;125;524;
156208919;524;673;
156208919;673;677;
156208919;677;676;
156208919;676;675;
156208919;675;122;
156209004;79;556;
156209004;556;554;
156209004;554;542;
156209004;542;179;
156209004;179;552;
156209004;552;177;
156209004;177;263;
156209004;263;176;
156209004;176;56;
156211619;18;189;
156211619;189;372;
156211620;18;696;
156211620;696;697;
156211620;697;188;
157156090;197;821;
157156090;821;190;
157156090;190;808;
157156090;808;192;
157156090;192;194;
157156090;194;195;
157156090;195;191;
174689857;10;288;
174689857;288;11;
190128487;48;534;
190128487;534;49;
190128487;49;851;
190128487;851;842;
190128487;842;843;
190128487;843;8;
190128490;116;171;
197434949;31;529;
197434949;529;138;
197464423;171;309;
197464424;171;714;
197464424;714;202;
197464424;202;76;
197464424;76;203;
197464424;203;647;
197464424;647;633;
198515209;641;206;
198515209;206;642;
198515209;642;172;
198515210;633;643;
198515210;643;644;
198515210;644;645;
198515507;658;207;
198515507;207;208;
198515507;208;656;
198515507;656;657;
198515507;657;659;
198515579;214;299;
198515579;299;300;
198515579;300;298;
198515579;298;211;
198515580;212;810;
198515580;810;811;
198515580;811;215;
198515580;215;809;
198515580;809;214;
198515581;210;213;
198515581;213;216;
198515581;216;212;
198515632;219;217;
198515632;217;220;
198515632;220;221;
198515632;221;873;
198515632;873;218;
198515632;218;42;
200967938;36;222;
200967938;222;663;
200967938;663;223;
210073259;131;128;
210073259;128;54;
210073259;54;624;
210073259;624;53;
